DailyTimeSpentOnSite,Age,AreaIncome,DailyInternetUsage,AdTopicLine,City,Male,Country,Timestamp,ClickedOnAd
55.79,24,59550.05,149.67,Pre-emptive content-based focus group,Port Sarahhaven,0,Puerto Rico,2022-04-29T20:47:05Z,1
43.07,36,60583.02,137.63,Monitored zero administration collaboration,East Ericport,1,Turkey,2022-04-29T20:45:46Z,1
45.82,27,64410.8,171.24,Expanded full-range synergy,Adamside,1,Eritrea,2022-04-29T20:43:38Z,1
81.29,28,33239.2,219.72,Synergized well-modulated Graphical User Interface,Lake Michael,0,Mongolia,2022-04-29T20:41:05Z,0
35.55,39,51593.46,151.18,Robust object-oriented Graphic Interface,Westshire,0,Micronesia,2022-04-29T20:38:35Z,1
77.2,33,49325.48,254.05,Persistent homogeneous framework,North Elizabeth,1,Philippines,2022-04-29T20:36:40Z,0
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,2022-04-29T20:35:42Z,0
87.16,37,50711.68,231.95,Pre-emptive content-based frame,East Donnatown,1,Western Sahara,2022-04-29T20:33:10Z,0
52.62,50,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,0,Seychelles,2022-04-29T20:30:35Z,1
79.16,32,69562.46,202.9,Compatible intermediate concept,East Timothy,1,Sri Lanka,2022-04-29T20:23:48Z,0
64.79,30,42251.59,116.07,Visionary mission-critical application,North Virginia,0,Maldives,2022-04-29T20:22:49Z,1
44.13,40,33601.84,128.48,Ameliorated discrete extranet,West Derekmouth,1,Cuba,2022-04-29T20:20:32Z,1
80.87,28,63528.8,203.3,Ameliorated local workforce,Collinsburgh,0,Uruguay,2022-04-29T20:20:25Z,0
68.95,51,74623.27,185.85,Front-line bandwidth-monitored capacity,South Adamhaven,1,United States Virgin Islands,2022-04-29T20:19:20Z,0
47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,0,Qatar,2022-04-29T20:19:01Z,1
79.18,31,58443.99,236.96,Open-source holistic productivity,Lake Danielle,0,Algeria,2022-04-29T20:18:21Z,0
46.61,42,65856.74,136.18,Progressive intermediate throughput,Catherinefort,0,Ethiopia,2022-04-29T20:17:49Z,1
73.27,32,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,2022-04-29T20:16:54Z,0
62.06,40,63493.6,116.27,Digitized radical array,East Rachaelfurt,1,Jersey,2022-04-29T20:10:53Z,1
35.66,36,59240.24,172.57,Implemented uniform synergy,Alvarezland,0,Svalbard & Jan Mayen Islands,2022-04-29T20:09:12Z,1
88.04,45,62589.84,191.17,Profound explicit hardware,Lake Deborahburgh,1,Saint Vincent and the Grenadines,2022-04-29T20:02:51Z,0
36.62,32,51119.93,162.44,Customer-focused solution-oriented software,New Sabrina,1,Poland,2022-04-29T19:59:17Z,1
66.88,35,62790.96,119.47,Polarized bifurcated array,Russellville,1,Indonesia,2022-04-29T19:58:15Z,1
87.23,29,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,0,American Samoa,2022-04-29T19:54:16Z,0
75.81,40,71157.05,229.19,Inverse zero-defect capability,Sanchezland,0,Greenland,2022-04-29T19:50:11Z,0
70.29,26,62053.37,231.37,Vision-oriented multi-tasking success,Shirleyfort,1,Puerto Rico,2022-04-29T19:48:37Z,0
37.75,36,35466.8,225.24,Polarized dynamic throughput,South Daniel,0,Uzbekistan,2022-04-29T19:48:23Z,1
42.51,30,54755.71,144.77,Grass-roots transitional flexibility,Lake Rhondaburgh,1,Palestinian Territory,2022-04-29T19:45:33Z,1
56.16,25,66429.84,164.25,Seamless motivating approach,Millerbury,1,Cote d'Ivoire,2022-04-29T19:43:53Z,1
67.58,41,65044.59,255.61,Focused high-level conglomeration,Ingramberg,1,Mayotte,2022-04-29T19:42:40Z,0
44.46,42,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,1,Mongolia,2022-04-29T19:40:47Z,1
79.97,26,61747.98,185.45,Down-sized explicit budgetary management,Port Maria,1,Nepal,2022-04-29T19:38:45Z,0
68.88,37,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,2022-04-29T19:37:52Z,0
54.47,23,46780.09,141.52,Vision-oriented bifurcated contingency,Holderville,0,Chad,2022-04-29T19:37:46Z,1
77.65,28,66198.66,208.01,Configurable impactful capacity,Pamelamouth,0,Ukraine,2022-04-29T19:35:54Z,0
75.64,29,69718.19,204.82,Pre-emptive well-modulated moderator,West Rhondamouth,1,Iran,2022-04-29T19:35:19Z,0
76.2,37,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,0,Barbados,2022-04-29T19:26:35Z,0
78.7,30,53441.69,133.99,Compatible intangible customer loyalty,Williamstad,0,Turkey,2022-04-29T19:20:51Z,1
55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,0,Palestinian Territory,2022-04-29T19:20:41Z,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,Port Erikhaven,1,Cuba,2022-04-29T19:16:05Z,1
48.22,40,73882.91,214.33,Inverse national core,Turnerville,0,Norfolk Island,2022-04-29T19:14:47Z,0
56.3,49,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,1,New Caledonia,2022-04-29T19:12:51Z,1
84.79,33,61771.9,214.53,Managed eco-centric encoding,New Juan,0,Cameroon,2022-04-29T19:09:50Z,0
79.15,26,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,0,Greenland,2022-04-29T19:09:37Z,0
47.9,42,48467.68,114.53,Cross-group human-resource time-frame,East Jessefort,0,United Kingdom,2022-04-29T19:08:11Z,1
83.86,31,64122.36,190.25,Up-sized executive moderator,Lake Josetown,0,Gibraltar,2022-04-29T19:06:01Z,0
50.19,40,33987.27,117.3,Progressive uniform budgetary management,Lake Stephenborough,0,Thailand,2022-04-29T19:02:35Z,1
62.14,41,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,2022-04-29T18:59:21Z,1
60.72,44,42995.8,105.69,Synergized context-sensitive database,Jacobstad,0,Kuwait,2022-04-29T18:52:44Z,1
77.14,24,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,2022-04-29T18:51:01Z,0
68.6,33,68448.94,135.08,Focused high-level frame,Tammyshire,0,Taiwan,2022-04-29T18:50:57Z,1
37.51,30,52097.32,163.0,Re-contextualized optimal service-desk,Debraburgh,1,Holy See (Vatican City State),2022-04-29T18:46:41Z,1
88.85,40,58363.12,213.96,Cloned optimal leverage,Cannonbury,0,Bulgaria,2022-04-29T18:45:55Z,0
44.73,35,55316.97,127.56,Object-based neutral policy,North Lauraland,1,Guam,2022-04-29T18:25:42Z,1
90.97,37,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,0,Congo,2022-04-29T18:21:36Z,0
53.63,54,50333.72,126.29,Front-line zero-defect array,Vanessaview,1,Liberia,2022-04-29T18:13:43Z,1
54.39,20,52563.22,171.9,Digitized content-based circuit,Richardshire,1,Guadeloupe,2022-04-29T18:06:21Z,1
60.23,35,43313.73,106.86,Balanced asynchronous hierarchy,New Brendafurt,0,Kenya,2022-04-29T18:00:43Z,1
56.64,38,61652.53,115.91,Down-sized uniform info-mediaries,Lake Christopherfurt,0,Montserrat,2022-04-29T17:56:52Z,1
78.64,31,60283.47,235.28,Integrated client-server definition,South Renee,1,Nicaragua,2022-04-29T17:56:05Z,0
81.58,41,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,2022-04-29T17:55:44Z,0
70.05,33,75560.65,203.44,Diverse directional hardware,North Raymond,0,Croatia,2022-04-29T17:48:31Z,0
61.82,59,57877.15,151.93,Open-architected needs-based customer loyalty,Olsonside,1,Barbados,2022-04-29T17:48:28Z,1
39.25,39,62378.05,152.36,Customer-focused incremental system engine,Michellefort,0,Mayotte,2022-04-29T17:39:06Z,1
68.72,27,66861.67,225.97,Fundamental tangible moratorium,New Taylorburgh,0,Austria,2022-04-29T17:37:46Z,0
65.77,21,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,1,Eritrea,2022-04-29T17:35:40Z,0
72.92,29,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,1,Czech Republic,2022-04-29T17:33:15Z,0
48.86,54,53188.69,134.46,Proactive encompassing paradigm,Perryburgh,0,French Guiana,2022-04-29T17:33:03Z,1
51.63,51,42415.72,120.37,Expanded intangible solution,South Jessica,1,Mongolia,2022-04-29T17:24:57Z,1
75.42,26,63373.7,164.25,Optional regional throughput,Millertown,1,Western Sahara,2022-04-29T17:14:14Z,0
88.72,32,43870.51,211.87,Customer-focused system-worthy superstructure,East John,1,Zambia,2022-04-29T17:10:05Z,0
85.37,36,66262.59,194.56,Front-line system-worthy flexibility,Alexandrafort,1,Netherlands Antilles,2022-04-29T17:08:19Z,0
58.21,37,47575.44,105.94,Open-source global strategy,Pattymouth,0,Djibouti,2022-04-29T17:06:35Z,1
77.63,29,56113.37,239.22,Upgradable asynchronous circuit,Port Gregory,0,Azerbaijan,2022-04-29T17:05:15Z,0
52.13,50,40926.93,118.27,Open-source even-keeled database,West Raymondmouth,1,Ethiopia,2022-04-29T17:03:54Z,1
50.78,51,49957.0,122.04,Vision-oriented asynchronous Internet solution,West David,0,Liberia,2022-04-29T17:02:07Z,1
84.95,34,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,2022-04-29T17:01:01Z,0
86.81,29,50820.74,199.62,Multi-channeled scalable moratorium,Joshuaburgh,1,Turkmenistan,2022-04-29T16:57:59Z,0
42.04,49,67323.0,182.11,Organic logistical adapter,New Christinatown,0,Qatar,2022-04-29T16:54:33Z,1
74.59,23,40135.06,158.35,Phased clear-thinking encoding,Lake Gerald,1,United States Virgin Islands,2022-04-29T16:52:04Z,1
68.1,40,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,2022-04-29T16:50:58Z,0
55.74,37,26130.93,124.34,Networked asymmetric infrastructure,Lake Michelle,1,Hong Kong,2022-04-29T16:45:41Z,1
39.5,31,49911.25,148.19,Operative multi-tasking Graphic Interface,West Brad,1,Micronesia,2022-04-29T16:42:36Z,1
69.74,49,66524.8,243.37,Enhanced maximized access,Birdshire,0,Hungary,2022-04-29T16:41:29Z,0
78.68,29,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,2022-04-29T16:40:30Z,0
79.54,44,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,2022-04-29T16:34:31Z,0
64.67,51,24316.61,138.35,Horizontal incremental website,Andersonfurt,1,Togo,2022-04-29T16:33:29Z,1
75.24,24,52252.91,226.49,Vision-oriented next generation solution,South Christopher,0,Vanuatu,2022-04-29T16:33:24Z,0
76.58,46,41884.64,258.26,Secured 24hour policy,West Sydney,0,Uzbekistan,2022-04-29T16:30:51Z,0
74.84,37,64775.1,246.44,User-friendly impactful time-frame,Knappburgh,1,Mongolia,2022-04-29T16:30:38Z,0
45.11,58,39799.73,195.69,Sharable reciprocal project,Browntown,0,Netherlands,2022-04-29T16:26:44Z,1
68.25,29,70324.8,220.08,Phased fault-tolerant definition,Wagnerchester,0,Greenland,2022-04-29T16:18:49Z,0
74.54,24,57518.73,219.75,Switchable secondary ability,Alexisland,0,Bahamas,2022-04-29T16:15:59Z,0
74.49,28,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,2022-04-29T16:15:29Z,0
78.11,27,63296.87,209.25,Progressive analyzing attitude,East Shawnchester,1,Moldova,2022-04-29T16:10:04Z,0
72.82,34,75769.82,191.82,User-centric discrete success,Jonesmouth,1,Czech Republic,2022-04-29T16:06:05Z,0
65.8,25,60843.32,231.49,Expanded radical software,Clineshire,1,Gabon,2022-04-29T16:04:59Z,0
51.24,36,76368.31,176.73,Versatile transitional monitoring,Timothyfurt,0,Cuba,2022-04-29T16:01:40Z,1
89.0,37,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,2022-04-29T15:56:55Z,0
82.7,35,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,0,Somalia,2022-04-29T15:49:28Z,0
70.79,31,74535.94,184.1,Distributed tertiary system engine,Sharpberg,0,Bouvet Island (Bouvetoya),2022-04-29T15:49:14Z,0
60.39,45,38987.42,108.25,Front-line methodical utilization,Port Christina,1,Switzerland,2022-04-29T15:39:02Z,1
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,Ianmouth,1,Argentina,2022-04-29T15:37:36Z,0
41.86,39,53041.77,128.62,Open-source stable paradigm,Hawkinsbury,1,Ethiopia,2022-04-29T15:28:07Z,1
43.41,28,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,0,Egypt,2022-04-29T15:26:37Z,1
42.44,56,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,0,Tajikistan,2022-04-29T15:23:17Z,1
57.64,36,37212.54,110.25,Robust web-enabled attitude,North Maryland,1,Chile,2022-04-29T15:18:01Z,1
60.53,24,66873.9,167.22,Organic interactive support,Combsstad,0,Serbia,2022-04-29T15:17:39Z,1
89.66,34,52802.58,171.23,Advanced didactic conglomeration,Nicholasport,1,Armenia,2022-04-29T15:15:42Z,0
36.56,29,42838.29,195.89,Team-oriented bi-directional secured line,West Ryan,0,Uganda,2022-04-29T15:14:24Z,1
75.83,24,58019.64,162.44,Diverse stable circuit,Walshhaven,0,Nauru,2022-04-29T15:10:31Z,0
50.63,50,25767.16,142.23,Operative full-range forecast,Tammymouth,0,Luxembourg,2022-04-29T15:07:44Z,1
45.99,33,51163.14,124.61,Face-to-face methodical intranet,South Mark,1,Afghanistan,2022-04-29T15:04:52Z,1
44.15,28,48867.67,141.96,Proactive secondary monitoring,Salazarbury,1,Martinique,2022-04-29T15:03:25Z,1
50.52,31,72270.88,171.62,Function-based stable alliance,Lake Allenville,0,New Caledonia,2022-04-29T15:02:13Z,1
74.02,32,72272.9,210.54,Operative system-worthy protocol,Johnstad,0,Micronesia,2022-04-29T14:57:11Z,0
86.38,40,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,1,Singapore,2022-04-29T14:57:00Z,0
82.58,38,65496.78,225.23,Open-architected zero administration secured line,West Samantha,1,Dominica,2022-04-29T14:50:56Z,0
72.08,29,71228.44,169.5,Stand-alone national attitude,Smithburgh,0,Burundi,2022-04-29T14:45:33Z,0
45.17,48,34418.09,132.07,Down-sized background groupware,Taylormouth,1,Palau,2022-04-29T14:41:10Z,1
77.8,57,43708.88,152.94,Virtual executive implementation,Destinyfurt,0,Namibia,2022-04-29T14:38:01Z,1
40.17,26,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,1,Japan,2022-04-29T14:37:34Z,1
70.29,31,56974.51,254.65,Balanced responsive open system,New Frankshire,1,Norfolk Island,2022-04-29T14:36:55Z,0
83.26,40,70225.6,187.76,Decentralized foreground infrastructure,Alanview,1,Tonga,2022-04-29T14:36:03Z,0
76.83,28,67990.84,192.81,Quality-focused 5thgeneration orchestration,Wintersfort,0,Ecuador,2022-04-29T14:33:38Z,0
55.77,49,55942.04,117.33,Fully-configurable high-level groupware,East Shawn,1,Chile,2022-04-29T14:33:12Z,1
80.23,31,68094.85,196.23,Secured clear-thinking middleware,South Daniellefort,0,Qatar,2022-04-29T14:23:45Z,0
81.99,33,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,0,French Polynesia,2022-04-29T14:13:47Z,0
61.57,53,35253.98,125.94,Progressive 24hour forecast,Bradyfurt,1,Bulgaria,2022-04-29T14:13:05Z,1
83.42,25,49850.52,183.42,Advanced heuristic firmware,East Toddfort,1,Austria,2022-04-29T14:10:12Z,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,1,Albania,2022-04-29T14:06:17Z,1
39.76,28,35350.55,196.83,Integrated maximized service-desk,Pottermouth,1,Liberia,2022-04-29T14:02:22Z,1
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,Port Cassie,0,Senegal,2022-04-29T14:00:09Z,1
51.56,46,63102.19,124.85,Business-focused client-driven forecast,Helenborough,0,Australia,2022-04-29T13:58:51Z,1
65.72,36,28275.48,120.12,Managed didactic flexibility,Kimberlymouth,0,Saint Pierre and Miquelon,2022-04-29T13:57:53Z,1
39.86,28,51171.23,161.24,Ergonomic zero tolerance encoding,East Sharon,0,Ghana,2022-04-29T13:55:48Z,1
85.54,27,48761.14,175.43,Right-sized solution-oriented benchmark,Gilbertville,1,Tokelau,2022-04-29T13:54:51Z,0
69.5,26,68348.99,203.84,Front-line systemic capability,Tranland,0,Pakistan,2022-04-29T13:51:44Z,0
74.38,40,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,1,Indonesia,2022-04-29T13:50:25Z,0
83.48,31,59340.99,222.72,Intuitive zero administration adapter,Williamport,1,Philippines,2022-04-29T13:47:47Z,0
73.94,27,68333.01,173.49,Function-based incremental standardization,North Alexandra,0,Myanmar,2022-04-29T13:46:35Z,0
67.39,44,51257.26,107.19,Realigned intermediate application,Josephberg,0,Armenia,2022-04-29T13:41:38Z,1
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,Bernardton,1,Jamaica,2022-04-29T13:37:53Z,1
77.65,27,63274.88,212.79,Horizontal client-driven hierarchy,South Ronald,0,Papua New Guinea,2022-04-29T13:30:32Z,0
78.51,25,59106.12,205.71,Focused web-enabled Graphical User Interface,Riggsstad,1,Greece,2022-04-29T13:27:13Z,0
60.75,42,69775.75,247.05,Fully-configurable systemic productivity,Garrettborough,1,Guyana,2022-04-29T13:26:24Z,0
80.47,25,57519.64,204.86,Reduced global support,Jamesberg,0,Niger,2022-04-29T13:26:22Z,0
81.22,53,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,2022-04-29T13:25:21Z,0
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,1,Cameroon,2022-04-29T13:22:35Z,0
81.03,28,63727.5,201.15,Persevering tertiary capability,Masonhaven,0,Venezuela,2022-04-29T13:20:01Z,0
37.68,52,53575.48,172.83,Organic leadingedge secured line,Lake Cassandraport,1,Turkmenistan,2022-04-29T13:16:33Z,1
56.57,26,56435.6,131.98,Multi-channeled non-volatile website,West Ericaport,0,Senegal,2022-04-29T13:14:18Z,1
78.79,32,68324.48,215.29,Stand-alone background open system,Mauriceshire,1,Uruguay,2022-04-29T13:11:08Z,0
35.11,35,47638.3,158.03,Extended analyzing emulation,North Jonathan,1,Anguilla,2022-04-29T13:07:30Z,1
62.12,37,50671.6,105.86,Re-engineered intangible software,Johnsonview,1,Liechtenstein,2022-04-29T13:00:12Z,1
65.56,25,69646.35,181.25,Stand-alone explicit orchestration,West Arielstad,1,Somalia,2022-04-29T12:59:07Z,0
70.09,21,54725.87,211.17,Automated full-range Internet solution,East Benjaminville,0,Belarus,2022-04-29T12:58:14Z,0
63.37,43,43155.19,105.04,Open-architected full-range projection,Michaelshire,1,Poland,2022-04-29T12:53:23Z,1
71.27,21,50147.72,216.03,Quality-focused bi-directional throughput,South Blakestad,1,Senegal,2022-04-29T12:46:31Z,0
79.22,27,63429.18,198.79,Intuitive modular system engine,North Debra,1,Belgium,2022-04-29T12:39:19Z,0
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,0,Bouvet Island (Bouvetoya),2022-04-29T12:38:16Z,0
85.23,36,64238.71,212.92,Visionary client-driven installation,Paulhaven,1,Senegal,2022-04-29T12:34:19Z,0
72.01,31,57756.89,251.0,Horizontal multi-state interface,West Michaelhaven,0,Angola,2022-04-29T12:31:57Z,0
44.96,50,52802.0,132.71,Focused fresh-thinking Graphic Interface,South Peter,1,Heard Island and McDonald Islands,2022-04-29T12:25:36Z,1
81.37,26,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,1,Kyrgyz Republic,2022-04-29T12:25:28Z,0
73.19,25,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,1,Pakistan,2022-04-29T12:18:13Z,0
